city,year,avg_max_temp
Brisbane,2005,27
Brisbane,2006,26.3
Brisbane,2007,26.5
Brisbane,2008,25.7
Brisbane,2009,26.9
Brisbane,2010,25.8
Brisbane,2011,25.9
Brisbane,2012,26.2
Brisbane,2013,26.6
Brisbane,2014,27
Brisbane,2015,26.4
Brisbane,2016,27.3
Brisbane,2017,27.3
Brisbane,2018,27
Brisbane,2019,27.8
Brisbane,2020,26.9
Brisbane,2021,26.3
Brisbane,2022,25.7
Brisbane,2023,27.2
Darwin,2005,32.8
Darwin,2006,31.8
Darwin,2007,32.2
Darwin,2008,32.5
Darwin,2009,32.7
Darwin,2010,32.6
Darwin,2011,31.6
Darwin,2012,32.3
Darwin,2013,32.7
Darwin,2014,32.6
Darwin,2015,32.6
Darwin,2016,33.2
Darwin,2017,32.8
Darwin,2018,32.8
Darwin,2019,33.0
Darwin,2020,33.1
Darwin,2021,33.0
Darwin,2022,32.9
Darwin,2023,32.9
Hobart,2005,17.6
Hobart,2006,17.0
Hobart,2007,17.8
Hobart,2008,17.9
Hobart,2009,17.6
Hobart,2010,18.2
Hobart,2011,17.5
Hobart,2012,18.1
Hobart,2013,18.1
Hobart,2014,18.3
Hobart,2015,17.7
Hobart,2016,18.2
Hobart,2017,18.5
Hobart,2018,18.2
Hobart,2019,18.7
Hobart,2020,17.7
Hobart,2021,17.7
Hobart,2022,17.6
Hobart,2023,18.4
Perth,2005,23.5
Perth,2006,24.8
Perth,2007,24.4
Perth,2008,24.6
Perth,2009,25.0
Perth,2010,25.3
Perth,2011,25.7
Perth,2012,25.7
Perth,2013,25.5
Perth,2014,25.4
Perth,2015,25.6
Perth,2016,24.2
Perth,2017,25.0
Perth,2018,24.7
Perth,2019,25.7
Perth,2020,25.3
Perth,2021,25.0
Perth,2022,25.2
Perth,2023,25.5
Sydney,2005,23.4
Sydney,2006,23.0
Sydney,2007,23.0
Sydney,2008,22.4
Sydney,2009,23.4
Sydney,2010,22.9
Sydney,2011,22.6
Sydney,2012,22.9
Sydney,2013,24.1
Sydney,2014,23.6
Sydney,2015,23.4
Sydney,2016,24.1
Sydney,2017,24.1
Sydney,2018,23.9
Sydney,2019,24.5
Sydney,2020,23.6
Sydney,2021,22.8
Sydney,2022,22.4
Sydney,2023,23.9
Melbourne,2005,21.0
Melbourne,2006,20.4
Melbourne,2007,21.5
Melbourne,2008,20.5
Melbourne,2009,21.1
Melbourne,2010,20.2
Melbourne,2011,20.0
Melbourne,2012,20.3
Melbourne,2013,20.9
Melbourne,2014,21.3
Melbourne,2015,20.9
Melbourne,2016,20.6
Melbourne,2017,21.3
Melbourne,2018,21.2
Melbourne,2019,21.3
Melbourne,2020,19.9
Melbourne,2021,19.9
Melbourne,2022,20.1
Melbourne,2023,20.4
Adelaide,2005,22.1
Adelaide,2006,22.3
Adelaide,2007,23.0
Adelaide,2008,22.0
Adelaide,2009,22.7
Adelaide,2010,21.6
Adelaide,2011,22.1
Adelaide,2012,22.0
Adelaide,2013,22.6
Adelaide,2014,22.6
Adelaide,2015,22.2
Adelaide,2016,21.8
Adelaide,2017,22.4
Adelaide,2018,22.6
Adelaide,2019,22.4
Adelaide,2020,21.5
Adelaide,2021,21.5
Adelaide,2022,21.3
Adelaide,2023,21.7
Canberra,2005,21.0
Canberra,2006,21.7
Canberra,2007,21.1
Canberra,2008,20.4
Canberra,2009,21.4
Canberra,2010,20.3
Canberra,2011,20.1
Canberra,2012,20.0
Canberra,2013,21.4
Canberra,2014,21.2
Canberra,2015,20.6
Canberra,2016,20.9
Canberra,2017,21.2
Canberra,2018,21.8
Canberra,2019,22.4
Canberra,2020,20.4
Canberra,2021,19.6
Canberra,2022,19.1
Canberra,2023,21.1
